oracle,seed,auc_top10,final_top10,n_molecules_total,n_molecules_budget,yaml_file,csv_file
median1,0,0.3939679080792491,0.4040122341839808,10000,10000,/share/home/tm866079609100000/a875465180/yqw_bd3lms/genmol/scripts/exps/pmo/main/genmol/results/results_GenMol_median1_0.yaml,/share/home/tm866079609100000/a875465180/yqw_bd3lms/genmol/scripts/exps/pmo/main/genmol/results/median1_0.csv
median2,0,0.3561697225072996,0.36147908729532874,10000,10000,/share/home/tm866079609100000/a875465180/yqw_bd3lms/genmol/scripts/exps/pmo/main/genmol/results/results_GenMol_median2_0.yaml,/share/home/tm866079609100000/a875465180/yqw_bd3lms/genmol/scripts/exps/pmo/main/genmol/results/median2_0.csv
mestranol_similarity,0,0.9820402943829211,1.0,10000,10000,/share/home/tm866079609100000/a875465180/yqw_bd3lms/genmol/scripts/exps/pmo/main/genmol/results/results_GenMol_mestranol_similarity_0.yaml,/share/home/tm866079609100000/a875465180/yqw_bd3lms/genmol/scripts/exps/pmo/main/genmol/results/mestranol_similarity_0.csv
osimertinib_mpo,0,0.8914151733449603,0.9062999794454732,10000,10000,/share/home/tm866079609100000/a875465180/yqw_bd3lms/genmol/scripts/exps/pmo/main/genmol/results/results_GenMol_osimertinib_mpo_0.yaml,/share/home/tm866079609100000/a875465180/yqw_bd3lms/genmol/scripts/exps/pmo/main/genmol/results/osimertinib_mpo_0.csv
perindopril_mpo,0,0.6894733489247895,0.7302634238967673,10000,10000,/share/home/tm866079609100000/a875465180/yqw_bd3lms/genmol/scripts/exps/pmo/main/genmol/results/results_GenMol_perindopril_mpo_0.yaml,/share/home/tm866079609100000/a875465180/yqw_bd3lms/genmol/scripts/exps/pmo/main/genmol/results/perindopril_mpo_0.csv
qed,0,0.9414398368545415,0.9481336571618508,10000,10000,/share/home/tm866079609100000/a875465180/yqw_bd3lms/genmol/scripts/exps/pmo/main/genmol/results/results_GenMol_qed_0.yaml,/share/home/tm866079609100000/a875465180/yqw_bd3lms/genmol/scripts/exps/pmo/main/genmol/results/qed_0.csv
ranolazine_mpo,0,0.7970659568842401,0.8249867714766893,10000,10000,/share/home/tm866079609100000/a875465180/yqw_bd3lms/genmol/scripts/exps/pmo/main/genmol/results/results_GenMol_ranolazine_mpo_0.yaml,/share/home/tm866079609100000/a875465180/yqw_bd3lms/genmol/scripts/exps/pmo/main/genmol/results/ranolazine_mpo_0.csv
scaffold_hop,0,0.6168029114212011,0.6666666666666667,10000,10000,/share/home/tm866079609100000/a875465180/yqw_bd3lms/genmol/scripts/exps/pmo/main/genmol/results/results_GenMol_scaffold_hop_0.yaml,/share/home/tm866079609100000/a875465180/yqw_bd3lms/genmol/scripts/exps/pmo/main/genmol/results/scaffold_hop_0.csv
sitagliptin_mpo,0,0.5353746789277133,0.6131279529201388,10000,10000,/share/home/tm866079609100000/a875465180/yqw_bd3lms/genmol/scripts/exps/pmo/main/genmol/results/results_GenMol_sitagliptin_mpo_0.yaml,/share/home/tm866079609100000/a875465180/yqw_bd3lms/genmol/scripts/exps/pmo/main/genmol/results/sitagliptin_mpo_0.csv
thiothixene_rediscovery,0,0.5874814291609818,0.6190063272467482,10000,10000,/share/home/tm866079609100000/a875465180/yqw_bd3lms/genmol/scripts/exps/pmo/main/genmol/results/results_GenMol_thiothixene_rediscovery_0.yaml,/share/home/tm866079609100000/a875465180/yqw_bd3lms/genmol/scripts/exps/pmo/main/genmol/results/thiothixene_rediscovery_0.csv
troglitazone_rediscovery,0,0.75285399047146,0.7779421828405664,10000,10000,/share/home/tm866079609100000/a875465180/yqw_bd3lms/genmol/scripts/exps/pmo/main/genmol/results/results_GenMol_troglitazone_rediscovery_0.yaml,/share/home/tm866079609100000/a875465180/yqw_bd3lms/genmol/scripts/exps/pmo/main/genmol/results/troglitazone_rediscovery_0.csv
valsartan_smarts,0,0.763803575940242,0.8487913588618111,10000,10000,/share/home/tm866079609100000/a875465180/yqw_bd3lms/genmol/scripts/exps/pmo/main/genmol/results/results_GenMol_valsartan_smarts_0.yaml,/share/home/tm866079609100000/a875465180/yqw_bd3lms/genmol/scripts/exps/pmo/main/genmol/results/valsartan_smarts_0.csv
zaleplon_mpo,0,0.575975706770734,0.6614823703219657,10000,10000,/share/home/tm866079609100000/a875465180/yqw_bd3lms/genmol/scripts/exps/pmo/main/genmol/results/results_GenMol_zaleplon_mpo_0.yaml,/share/home/tm866079609100000/a875465180/yqw_bd3lms/genmol/scripts/exps/pmo/main/genmol/results/zaleplon_mpo_0.csv
